,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.7188775539398193,0.09762327373027802,2.4132258892059326,0.181640625
1,2.364133596420288,0.19557826220989227,2.3099112510681152,0.22314453125
2,2.2785487174987793,0.2257310152053833,2.265282392501831,0.2342529296875
3,2.2256569862365723,0.24540162086486816,2.187032461166382,0.2681884765625
4,2.1750614643096924,0.26129069924354553,2.1989455223083496,0.2633056640625
5,2.149204730987549,0.2730499505996704,2.224330425262451,0.2613525390625
6,2.129368782043457,0.28281891345977783,2.210622549057007,0.2698974609375
7,2.100560426712036,0.29283663630485535,2.1879076957702637,0.276123046875
8,2.087158679962158,0.29582205414772034,2.17256498336792,0.2784423828125
9,2.0653634071350098,0.30358415842056274,2.1186957359313965,0.2882080078125
10,2.0548183917999268,0.3057900667190552,2.1425461769104004,0.281494140625
11,2.0528903007507324,0.3091071844100952,2.1456186771392822,0.2861328125
12,2.023500680923462,0.31894248723983765,2.193129539489746,0.2818603515625
13,2.0213353633880615,0.31960591673851013,2.1222152709960938,0.2938232421875
14,1.9952616691589355,0.3294578194618225,2.148477792739868,0.2960205078125
15,1.9990864992141724,0.329706609249115,2.139686346054077,0.2921142578125
16,1.9887335300445557,0.33241006731987,2.131979465484619,0.294677734375
17,1.9714198112487793,0.33751845359802246,2.1380157470703125,0.2982177734375
18,1.961646318435669,0.3425604999065399,2.142326831817627,0.2984619140625
19,1.9441418647766113,0.34761911630630493,2.1216745376586914,0.30078125
