,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.0757110118865967,0.029073169454932213,1.9116411209106445,0.0289306640625
1,1.7282776832580566,0.02853458561003208,1.7329771518707275,0.0274658203125
2,1.6222833395004272,0.028311902657151222,1.7610934972763062,0.0279541015625
3,1.5543156862258911,0.028337795287370682,1.6634204387664795,0.02783203125
4,1.501741647720337,0.02765420824289322,1.6404813528060913,0.029541015625
5,1.453410267829895,0.028016716241836548,1.6802308559417725,0.0296630859375
6,1.4189491271972656,0.027918322011828423,1.7041220664978027,0.0306396484375
7,1.379416823387146,0.027928678318858147,1.7503396272659302,0.033447265625
8,1.35088312625885,0.027933858335018158,1.7552179098129272,0.0330810546875
9,1.3181060552597046,0.027649030089378357,1.7996729612350464,0.0325927734375
