,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.651087999343872,0.11727729439735413,2.516064405441284,0.1617431640625
1,2.3166871070861816,0.21486739814281464,2.240919351577759,0.2381591796875
2,2.170250177383423,0.268969863653183,2.1349873542785645,0.2762451171875
3,2.081453561782837,0.3010631501674652,2.0967111587524414,0.295166015625
4,2.0251262187957764,0.32368600368499756,2.023556709289551,0.3154296875
5,1.9733299016952515,0.3434727191925049,1.9902926683425903,0.333984375
6,1.9319311380386353,0.3564095199108124,2.0140936374664307,0.3292236328125
7,1.907151699066162,0.36762145161628723,1.9688092470169067,0.34326171875
8,1.8683040142059326,0.3790324032306671,1.9843658208847046,0.3436279296875
9,1.8377671241760254,0.3896140456199646,1.9776394367218018,0.34521484375
